,Human A13,Human A14,Human A19,Human A1C,Human A23,Human A25,Human A29-A30,Human A32,Human A35-A36,Human A35r,Human A38,Human A40,Human A43,Human A44-A45,Human A46,Human A5-A7,Human ACC,Human ANC,Human AON,Human BL,Human BM,Human BNST,Human CA1,Human CA1-2R,Human CA1C-CA3C,Human CA1R-CA2R-CA3R,Human CA1U-CA2U-CA3U,Human CA2U-CA3U,Human CA3R,Human CA4C-DGC,Human CBL,Human CBV,Human CEN,Human CM,Human CM-Pf,Human CMN,Human CaB,Human CbDN,Human Cla,Human CoA,Human DGR-CA4,Human DGR-CA4Rpy,Human DGU-CA4Upy,Human DTg,Human ETH,Human FI,Human GPe,Human GPi,Human HTHma,Human HTHma-HTHtub,Human HTHpo,Human HTHpo-HTHso,Human HTHso,Human HTHso-HTHtub,Human HTHtub,Human IC,Human IO,Human ITG,Human Idg,Human Ig,Human LEC,Human LG,Human LP,Human LP-VPL,Human La,Human M1C,Human MD,Human MD-Re,Human MEC,Human MG,Human MN,Human MTG,Human MoAN,Human MoRF-MoEN,Human MoSR,Human NAC,Human PAG,Human PAG-DR,Human PB,Human PN,Human PTR,Human Pir,Human PnAN,Human PnEN,Human PnRF,Human Pro,Human Pu,Human Pul,Human RN,Human S1C,Human SC,Human SEP,Human SI,Human SN,Human SN-RN,Human STG,Human STH,Human SpC,Human Sub,Human TF,Human TH-TL,Human V1C,Human V2,Human VA,Human VLN,Human VPL
Cluster347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,813,330,526,0,1,12,2,0,1,0,1,16,0,0,0,0,0,0,5,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0
Cluster348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,726,134,360,0,0,15,2,0,2,0,8,74,5,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0
Cluster349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,662,214,0,0,6,0,0,0,1,7,1,16,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0
Cluster350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,1695,505,0,0,1,0,0,0,0,13,4,4,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0
Cluster351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,61,0,0,0,0,0,2,0,0,0,0,1,0,0,37,1,0,0,0,0,0,110,64,1,0,73,0,0,0,1,0,0,0,4,0,1,0,0,34,156,0,0,0,0,0,0,0,0,0,1,0
Cluster352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,4,0,4,23,4,0,10,0,0,3,0,0,0,0,0,0,705,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
Cluster353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,12,2
Cluster354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,6,32,0,0,0,8,14,0,1,0,1,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,75,1,0,0,0,0,0,157,34,8,0,456,1,0,5,13,0,0,0,2,0,1,0,0,275,298,0,3,0,0,0,0,0,0,0,2,0
Cluster355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,71,19,0,0,0,11,1,0,1,0,0,1,1564,1,0,0,0,0,6,0,0,0,1,0,0,0,70,2,0,2,1,0,0,198,102,298,0,627,0,1,25,13,0,0,9,5,0,1173,0,0,40,126,0,0,0,0,0,0,0,0,0,0,1
Cluster356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,103,0,0,1,0,0,0,0,0,386,157,0,0,0,0,1,0,5,0,0,1,670,44,0,0,0,0,27,0,0,0,3,1,2,0,201,4,0,23,69,22,0,425,414,342,0,1836,0,1,165,325,0,0,9,0,0,492,0,0,85,169,0,0,1,0,0,0,0,0,0,1,0
Cluster357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,1,290,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,469,155,17,0,809,0,0,5,1,0,0,0,0,0,872,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
Cluster358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213,0,0,0,0,2,1,0,0,0,1,317,0,0,0,0,0,7,0,0,0,2,0,5,0,14,0,0,1,0,1,0,446,344,7,0,824,0,0,2,2,0,0,7,0,0,965,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
Cluster359,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,1,1,0,0,951,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,1,0,1,0,229,184,8,0,567,0,0,9,0,0,0,3,0,0,4666,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cluster360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,0,0,4,1,0,0,0,0,0,1058,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,5,95,0,0,0,0,1,0,1,0,0,1,33,0,0,0,0,0,2,0,0,0,0,0,1,0,49,0,0,1,0,0,0,159,77,2,0,529,0,1,11,0,0,0,0,0,0,19,0,0,7,66,0,0,0,0,0,0,0,0,0,1,0
Cluster362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,793,0,0,0,0,0,549,43,0,4,3,3,9,1,11,0,3,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,1,1,0,167,46,92,0,198,0,11,180,69,0,0,0,0,0,4,0,0,10,70,0,0,0,0,0,0,0,0,0,0,0
Cluster363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,82,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,308,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Cluster364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7017,1,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,5,2,0,0,5,5,2,0,11,0,0,0,1,0,0,0,0,0,125,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Cluster365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1,31,1,0,1,0,0,0,0,0,0,0,7,11,702,10,0,6,0,0,0,1,0,3862,97,0,35,17,221,120,7,66,0,51,27,441,18,0,0,0,0,310,0,3,0,79,1,2,0,168,10,0,507,3244,1032,0,2915,1703,2121,3,1898,1,547,3606,1933,0,0,1,12,0,166,16,7,330,1013,0,9,340,0,0,0,0,0,1,207,8
Cluster366,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,68,1,4,6,24,3,0,0,2,7,0,4,2,0,0,23,45,201,32,0,59,0,5,1,1,1,455,1035,1,1,2,24,11,3,32,1,3,9,948,18,0,0,0,1,8,0,5,1,12,27,185,1,95,5,0,120,246,121,11,1973,909,972,1,1362,6,102,558,113,0,0,1,2,0,973,7,5,30,137,0,0,3,0,1,1,0,0,0,4,0
Cluster367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,2,0,0,0,0,0,0,0,101,0,0,0,1,1,0,617,245,4,0,313,1,0,1,2,0,0,0,0,0,1563,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
Cluster368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,58,40,0,0,1,0,0,0,0,0,49,1071,0,1,0,1,3,0,3,0,1,0,1705,0,0,0,0,0,10,0,0,0,0,2,66,0,163,0,0,4,23,7,0,1968,1113,48,0,2604,0,4,50,17,0,0,4,0,0,1637,0,0,14,129,0,0,0,0,0,0,0,0,0,0,0
Cluster369,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,2,0,0,0,2,1,1,0,12,0,0,0,7,0,0,63,184,6,0,1256,0,0,4,4,0,0,6,0,0,1177,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
Cluster370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,1,0,0,0,65,61,11,0,287,0,0,2,2,0,0,1,0,0,2756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,122,191,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,160,0,5,0,65,3,4,0,585,0,0,0,0,0,0,1,20,0,0,1057,1,0,0,0,0,0,7,0,0,1,0,0,40,259,0,0,0,0,0,0,0,0,0,5,0
Cluster373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,9,0,0,0,0,0,0,0,0,0,0,4,100,311,11,0,0,0,0,0,2,0,2,313,0,2,0,2,1,1,13,0,1,1,10,0,0,0,0,0,44,0,0,0,0,0,18,0,462,0,0,0,0,1,0,302,135,3,0,1162,0,2,14,2,0,0,26,0,0,16,0,0,201,349,0,0,0,0,0,0,0,0,0,7,0
Cluster374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,144,5,0,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,39,14,1117,0,270,0,28,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,2,2132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,24,411,0,0,0,0,1,0,1,0,2,91,1,0,28,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,5,4,0,0,0,449,93,117,151,0,378,99,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3,26,0,1,0,1,0,71,234,40,0,52,0,1,8,23,0,0,0,21,0,1,1,7,118,465,0,8,0,0,0,0,0,0,0,3,0
Cluster377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,1,0,2,630,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,1,0,0,2,0,2,0,3,1,281,239,0,120,5,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,3,28,16,4,0,0,1,0,0,0,0,0,0,2,0,0
Cluster378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,3,0,137,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8,0,1,0,2,2,59,18,0,21,8,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,9,0,2,0,0,4,3,0,0,0,0,0,0,0,0,1,83,31,0,0,0,0,0,0,0,0,0,0,2,1,0
Cluster379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,15,0,0,0,0,0,656,0,0,0,0,0,0,0,3,0,0,0,8,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,394,809,433,0,33,5,750,0,3,0,163,1110,290,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,0
Cluster381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,1,1,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,145,3,465,0,0,0,7,250,47,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
Cluster382,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,79,1,0,0,140,0,0,0,0,0,0,0,0,0,0,37,0,0,52,0,0,0,0,0,0,0,0,0,0,37,10,0,5,96,94,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,4,101,19,0,0,1,0,0,0,0,0,0,3,1,0
Cluster383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,247,0,0,0,0,0,0,0,0,8,6,0,0,0,1428,612,0,5,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,688,0,1,9,9,0,102,230,2,0,9,0,0,2,0,0,0,0,113,0,7,0,0,13,495,0,1,1,0,0,0,0,0,0,1,0
Cluster384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,2,0,0,3,454,528,1,2,0,11,51,14,0,0,0,0,0,4,0,0,0,0,0,0,0,7,292,0,1,1,2,0,33,6,236,0,5,0,0,29,13,0,0,0,0,0,3,0,0,621,537,0,211,0,0,0,0,0,0,0,18,0
Cluster385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,179,844,4,0,2,175,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,0,0,0,0,0,0,2,4,0,1,6,0,0,0,0,0,0,0,0,0,0,1,72,6,0,4,0,0,0,0,0,0,0,0,0
Cluster386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,92,65,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,291,0,0,0,0,3,1,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,143,0,1243,1,2,0,7,27,53,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
Cluster388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,96,27,6,0,66,0,0,425,6,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0
Cluster390,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,183,0,0,0,0,0,0,0,0,0,0,1,1,22,3,0,1,0,0,0,3,0,25,4,0,0,0,5,6,1,114,0,3,1,1,0,0,0,0,0,1413,2,2,0,0,1,1,0,1,1,0,2,3,4,0,30,7,46,0,1,0,17,87,2,0,0,3,1,0,2,1,2,42,30,0,2,1,0,0,0,0,0,4,91,24
Cluster391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,101,113,0,401,0,48,28,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,72,0,1,2,3,0,2,4,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,6,5,0,0,4,0,0,0,0,0,0,0,0
Cluster392,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,106,16,2,11,639,0,0,0,0,0,0,0,0,0,0,131,0,0,258,2,0,0,5,0,0,0,0,0,0,197,137,2,7,302,155,6,89,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,19,0,0,0,1,34,466,5,1,0,0,0,0,0,0,0,0,3,0,0
Cluster393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,1,0,1,55,0,33,8,7,7,2,218,0,40,17,0,0,0,0,0,0,272,44,0,0,1,28,22,0,47,1,0,0,0,0,0,0,2,0,5,26,0,0,0,0,0,0,92,0,0,2,3,0,98,37,0,8,0,0,0,0,0,0,82,382,65
Cluster394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,184,0,0,0,0,0,2,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,1,0,82,0,1403,0,2,0,4,20,40,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
Cluster395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,37,62,1,0,7,0,0,0,0,0,0,0,37,0,3,0,0,192,581,0,6,0,0,0,0,0,0,0,0,0
Cluster396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,514,2,0,0,0,3,11,0,0,0,3,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,280,2,2,0,27,0,0,422,126,0,0,0,0,0,6,0,2,15,52,0,0,1,0,0,0,1,0,0,0,0
Cluster397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,305,0,0,0,0,20,12,0,5,0,4,1,13,43,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,41,17,0,50,8,51,1,5,0,3,345,349,0,0,0,0,0,0,1,0,11,13,0,0,0,0,0,0,0,0,0,0,0
Cluster398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,38,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,780,847,186,0,2,3,105,0,0,0,14,40,70,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,366,204,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cluster400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,46,0,0,107,0,0,0,0,0,0,0,0,0,0,29,0,0,40,70,0,1,0,0,0,0,0,0,0,54,6,0,0,90,11,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,8,0,0,0,0,53,0,0,0,0,13,145,0,0,0,0,0,0,0,0,0,0,5,0,0
Cluster401,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,181,49,0,1,0,0,2,1506,0,0,0,0,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,1,0,0,0,0,0
Cluster402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,5,0,338,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,0,1,0,0,0,0,0,0,0,0,0
Cluster403,8,1,0,0,0,31,7,3,5,0,2,2,4,4,3,2,13,34,671,8,6,35,0,0,1,3,3,0,0,1,0,0,36,1,1,298,14,0,32,472,0,1,0,0,1,25,9,0,0,11,6,3,232,1,0,0,1,1,5,5,2,3,7,0,19,5,2,1,6,0,3,0,0,0,0,14,0,3,0,0,1,368,0,0,0,2,9,17,0,6,0,36,63,2,3,0,5,0,3,1,5,0,2,8,10,0
Cluster404,6,765,2,0,3,11,5,10,19,0,19,2,41,18,24,5,5,1,3,3,15,1,0,1,1,1,7,1,0,0,0,0,6,0,0,5,0,0,5,1,0,0,0,0,1,11,0,0,0,0,0,0,3,1,0,0,0,16,7,10,2,0,0,0,1,143,0,0,20,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,1,1,3,7,0,0,2,0,0,3,4,5,14,7,0,0,0
Cluster405,0,0,0,0,0,107,0,0,236,0,0,0,1,0,0,0,34,1,1902,15,117,80,2,0,0,0,3,1,0,0,0,0,292,0,0,407,0,0,1,749,0,0,0,0,0,7,0,0,0,0,68,0,1631,0,0,0,0,0,0,0,5,0,0,0,13,21,1,0,6,0,3,2,0,0,0,10,0,2,0,0,0,245,1,0,0,0,0,0,0,1,0,85,73,0,0,0,0,0,1,0,2,0,0,0,0,0
Cluster406,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,20,0,77,0,0,0,0,0,0,0,0,0,0,0,715,0,0,783,0,0,1,872,0,0,0,0,0,22,0,0,0,0,0,0,118,0,0,0,0,0,3,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
